Document ID,Petitioner,Petitioner_Category,Denial_Reason,Rationale_Depth
FDA-2012-P-0146-0005,CFSAN FDA to Center for Science,Other,Other/Unspecified,Highly detailed
FDA-2012-P-1112-0006,CDER,Other,Other/Unspecified,Highly detailed
FDA-2012-P-0963-0004,FDA CDRH to Charles J,Other,Procedural issue,Highly detailed
FDA-2013-P-0766-0006,FDA CDER to,Other,Premature/Pending other action,Highly detailed
FDA-2013-P-0058-0009,FDA CDER to,Other,Procedural issue,Highly detailed
FDA-2013-P-0048-0009,FDA CDER to,Other,Insufficient evidence/data,Highly detailed
FDA-2014-P-1429-0005,FDA CFSAN to,Other,Other/Unspecified,Moderately detailed
FDA-2014-P-1256-0004,FDA CDER to Public Citizen s,Public Interest,Enforcement discretion,Highly detailed
FDA-2014-P-2301-0004,FDA CDER to,Other,Other/Unspecified,Brief
FDA-2014-P-0908-0005,FDA CDRH to Mothers Ag,Other,Other/Unspecified,Highly detailed
FDA-2014-P-2188-0025,FDA C,Other,Premature/Pending other action,Highly detailed
FDA-2014-P-1773-0005,FDA C,Other,Other/Unspecified,Highly detailed
FDA-2014-P-1649-0005,,Unknown,Premature/Pending other action,Highly detailed
FDA-2014-P-1615-0004,,Unknown,Premature/Pending other action,Highly detailed
FDA-2014-P-1685-0004,,Unknown,Other/Unspecified,Highly detailed
FDA-2014-P-0878-0006,FDA CDER  to,Other,Procedural issue,Highly detailed
FDA-2014-P-1593-0004,,Unknown,Other/Unspecified,Highly detailed
FDA-2014-P-0206-0005,FDA CDER to,Other,Other/Unspecified,Highly detailed
FDA-2014-P-1694-0004,F,Other,Other/Unspecified,Moderately detailed
FDA-2014-P-0752-0003,FDA CDER to Pharmacist,Industry,Other/Unspecified,Highly detailed
FDA-2014-P-1353-0003,FDA CFSAN to the Internationa,Other,Other/Unspecified,Highly detailed
FDA-2014-P-0112-0004,FDA CDRH to NadaChair R,Other,Enforcement discretion,Highly detailed
FDA-2014-P-1562-0004,FDA CDER to the Instit,Other,Other/Unspecified,Highly detailed
FDA-2014-P-0263-0022,FDA CFSAN to Ferrero U,Other,Procedural issue,Highly detailed
FDA-2014-P-0144-0003,FDA CDER to,Other,Moot/Withdrawn,Highly detailed
FDA-2014-P-1354-0004,,Unknown,Premature/Pending other action,Highly detailed
FDA-2014-P-1773-0004,,Unknown,Premature/Pending other action,Highly detailed
FDA-2014-P-1771-0004,,Unknown,Premature/Pending other action,Highly detailed
FDA-2014-P-1057-0004,FDA CDER to Pharmacist,Industry,Other/Unspecified,Highly detailed
FDA-2014-P-1569-0003,CDER to Pharmacists Pl,Industry,Other/Unspecified,Highly detailed
FDA-2014-P-2140-0008,FDA CDER to Lachman Consultant,Consultant,Other/Unspecified,Moderately detailed
FDA-2014-P-0231-0004,FDA CDRH  to,Other,Other/Unspecified,Highly detailed
FDA-2014-P-2193-0014,FDA C,Other,Other/Unspecified,Highly detailed
FDA-2015-P-0059-0013,FDA CFSAN to Center fo,Other,Other/Unspecified,Highly detailed
FDA-2015-P-0840-0026,FDA CDER to Dr  Richard Sherm,Other,Premature/Pending other action,Highly detailed
FDA-2015-P-1721-0007,FDA CDER to,Other,Premature/Pending other action,Highly detailed
FDA-2015-P-3980-0021,FDA CDER to,Other,Premature/Pending other action,Highly detailed
FDA-2015-P-0464-0025,FDA CDER to Colgate Palmolive,Other,Premature/Pending other action,Highly detailed
FDA-2015-P-4529-0012,,Unknown,Premature/Pending other action,Highly detailed
FDA-2015-P-4916-0005,,Unknown,Moot/Withdrawn,Highly detailed
FDA-2015-P-1431-0025,,Unknown,Premature/Pending other action,Highly detailed
FDA-2015-P-1722-0014,FDA CDER to,Other,Premature/Pending other action,Highly detailed
FDA-2015-P-2626-0004,FDA CDER to US WorldMed,Other,Other/Unspecified,Highly detailed
FDA-2015-P-3364-0004,FDA CDRH to,Other,Other/Unspecified,Minimal
FDA-2015-P-1094-0042,FDA CVM to F,Other,Premature/Pending other action,Highly detailed
FDA-2015-P-2120-0011,FDA CDER to,Other,Premature/Pending other action,Highly detailed
FDA-2015-P-3410-0004,FDA CDER to Dr  David K  Cund,Other,Insufficient evidence/data,Highly detailed
FDA-2015-P-0732-0117,FDA CD,Other,Premature/Pending other action,Highly detailed
FDA-2015-P-0014-0006,FDA CDER to Edward L  Boshnick,Other,Premature/Pending other action,Highly detailed
FDA-2015-P-0014-0006,FDA CDRH to Edward L  Boshnick,Other,Premature/Pending other action,Highly detailed
FDA-2015-P-2373-0008,FDA CDER to Dr  David K  Cund,Other,Insufficient evidence/data,Highly detailed
FDA-2015-P-2149-0003,FDA C,Other,Other/Unspecified,Highly detailed
FDA-2015-P-3391-0006,CFSAN to Ashley Franz  Patricia,Other,Enforcement discretion,Brief
FDA-2015-P-4237-0006,FDA CDER to Gland Ph,Other,Moot/Withdrawn,Highly detailed
FDA-2015-P-0181-0009,FDA CDER to,Other,Premature/Pending other action,Highly detailed
FDA-2015-P-3020-0009,FDA CFSAN to WVE,Other,Other/Unspecified,Highly detailed
FDA-2015-P-0543-0012,FDA CDER to Gland Pharm,Other,Moot/Withdrawn,Highly detailed
FDA-2015-P-5022-0008,,Unknown,Premature/Pending other action,Highly detailed
FDA-2015-P-1187-0004,FDA to U S  Right to Kn,Other,Enforcement discretion,Highly detailed
FDA-2015-P-5081-0080,FDA to Meghan O  Hara,Other,Other/Unspecified,Minimal
FDA-2015-P-3009-0011,FDA CFSAN to Physician,Other,Procedural issue,Moderately detailed
FDA-2015-P-3408-0006,FDA CDER to Dr  David K  Cund,Other,Insufficient evidence/data,Highly detailed
FDA-2015-P-1924-0007,FDA C,Other,Other/Unspecified,Highly detailed
FDA-2015-P-2375-0006,,Unknown,Other/Unspecified,Highly detailed
FDA-2015-P-2000-0012,,Unknown,Premature/Pending other action,Highly detailed
FDA-2015-P-2830-0022,FDA CDER to,Other,Premature/Pending other action,Highly detailed
FDA-2015-P-0876-0008,FDA CDER to Escher Fund for A,Other,Insufficient evidence/data,Highly detailed
FDA-2015-P-1553-0015,FDA C,Other,Insufficient evidence/data,Highly detailed
FDA-2015-P-2482-0015,FDA CDER to,Other,Premature/Pending other action,Highly detailed
FDA-2015-P-1433-0081,,Unknown,Insufficient evidence/data,Highly detailed
FDA-2015-P-2413-0003,FDA CDER to,Other,Premature/Pending other action,Highly detailed
FDA-2016-P-2376-0004,FDA CDER to Latham   W,Other,Premature/Pending other action,Highly detailed
FDA-2016-P-4587-0013,,Unknown,Premature/Pending other action,Highly detailed
FDA-2016-P-0383-0004,,Unknown,Premature/Pending other action,Highly detailed
FDA-2016-P-1288-0020,FDA DDM to Fluoride Ac,Other,Enforcement discretion,Brief
FDA-2016-P-4047-0005,CDER to Mayne Pharma ln,Industry,Premature/Pending other action,Highly detailed
FDA-2016-P-2478-0014,FDA CDER to Hogan Love,Other,Premature/Pending other action,Highly detailed
FDA-2016-P-0656-0005,FDA C,Other,Other/Unspecified,Brief
FDA-2016-P-2654-0008,,Unknown,Insufficient evidence/data,Highly detailed
FDA-2016-P-1171-0012,FDA CFSAN to B,Other,Premature/Pending other action,Highly detailed
FDA-2016-P-3823-0003,FDA CFSAN to Jennifer,Other,Insufficient evidence/data,Highly detailed
FDA-2016-P-0769-0007,FDA to Empire State Con,Other,Other/Unspecified,Minimal
