Docket ID,Petition_Doc,Response_Doc,Response_Days,Within_180
FDA-2005-P-0318,FDA-2005-P-0318-0005,FDA-2005-P-0318-0001,181,False
FDA-2005-P-0319,FDA-2005-P-0319-0004,FDA-2005-P-0319-0003,186,False
FDA-2005-P-0321,FDA-2005-P-0321-0003,FDA-2005-P-0321-0004,1358,False
FDA-2005-P-0325,FDA-2005-P-0325-0007,FDA-2005-P-0325-0014,3127,False
FDA-2005-P-0325,FDA-2005-P-0325-0007,FDA-2005-P-0325-0005,882,False
FDA-2005-P-0325,FDA-2005-P-0325-0007,FDA-2005-P-0325-0003,181,False
FDA-2005-P-0325,FDA-2005-P-0325-0007,FDA-2005-P-0325-0006,882,False
FDA-2005-P-0366,FDA-2005-P-0366-0005,FDA-2005-P-0366-0004,363,False
FDA-2005-P-0367,FDA-2005-P-0367-0004,FDA-2005-P-0367-0003,186,False
FDA-2005-P-0367,FDA-2005-P-0367-0004,FDA-2005-P-0367-0005,1173,False
FDA-2005-P-0368,FDA-2005-P-0368-0007,FDA-2005-P-0368-0004,438,False
FDA-2005-P-0368,FDA-2005-P-0368-0007,FDA-2005-P-0368-0003,183,False
FDA-2005-P-0373,FDA-2005-P-0373-0003,FDA-2005-P-0373-0004,183,False
FDA-2005-P-0375,FDA-2005-P-0375-0004,FDA-2005-P-0375-0003,345,False
FDA-2005-P-0380,FDA-2005-P-0380-0004,FDA-2005-P-0380-0003,113,True
FDA-2005-P-0394,FDA-2005-P-0394-0005,FDA-2005-P-0394-0006,2109,False
FDA-2005-P-0394,FDA-2005-P-0394-0005,FDA-2005-P-0394-0003,181,False
FDA-2005-P-0428,FDA-2005-P-0428-0005,FDA-2005-P-0428-0003,180,True
FDA-2005-P-0435,FDA-2005-P-0435-0005,FDA-2005-P-0435-0004,183,False
FDA-2005-P-0441,FDA-2005-P-0441-0004,FDA-2005-P-0441-0003,259,False
FDA-2005-P-0517,FDA-2005-P-0517-0618,FDA-2005-P-0517-0649,825,False
FDA-2006-P-0009,FDA-2006-P-0009-0004,FDA-2006-P-0009-0008,1426,False
FDA-2006-P-0009,FDA-2006-P-0009-0004,FDA-2006-P-0009-0003,181,False
FDA-2006-P-0010,FDA-2006-P-0010-0004,FDA-2006-P-0010-0003,185,False
FDA-2006-P-0010,FDA-2006-P-0010-0004,FDA-2006-P-0010-0016,2766,False
FDA-2006-P-0018,FDA-2006-P-0018-0004,FDA-2006-P-0018-0044,3507,False
FDA-2006-P-0019,FDA-2006-P-0019-0002,FDA-2006-P-0019-0001,181,False
FDA-2006-P-0019,FDA-2006-P-0019-0002,FDA-2006-P-0019-0013,1240,False
FDA-2006-P-0020,FDA-2006-P-0020-0004,FDA-2006-P-0020-0003,183,False
FDA-2006-P-0025,FDA-2006-P-0025-0004,FDA-2006-P-0025-0017,933,False
FDA-2006-P-0033,FDA-2006-P-0033-0045,FDA-2006-P-0033-0066,3379,False
FDA-2006-P-0033,FDA-2006-P-0033-0045,FDA-2006-P-0033-0067,3375,False
FDA-2006-P-0069,FDA-2006-P-0069-0006,FDA-2006-P-0069-0003,183,False
FDA-2006-P-0072,FDA-2006-P-0072-0004,FDA-2006-P-0072-0003,175,True
FDA-2006-P-0072,FDA-2006-P-0072-0004,FDA-2006-P-0072-0009,1398,False
FDA-2006-P-0073,FDA-2006-P-0073-0007,FDA-2006-P-0073-0003,181,False
FDA-2006-P-0073,FDA-2006-P-0073-0007,FDA-2006-P-0073-0006,894,False
FDA-2006-P-0075,FDA-2006-P-0075-0002,FDA-2006-P-0075-0001,220,False
FDA-2006-P-0082,FDA-2006-P-0082-0004,FDA-2006-P-0082-0003,182,False
FDA-2006-P-0084,FDA-2006-P-0084-0004,FDA-2006-P-0084-0003,388,False
FDA-2006-P-0087,FDA-2006-P-0087-0003,FDA-2006-P-0087-0004,1359,False
FDA-2006-P-0088,FDA-2006-P-0088-0005,FDA-2006-P-0088-0004,436,False
FDA-2006-P-0088,FDA-2006-P-0088-0005,FDA-2006-P-0088-0003,330,False
FDA-2006-P-0089,FDA-2006-P-0089-0007,FDA-2006-P-0089-0006,1551,False
FDA-2006-P-0135,FDA-2006-P-0135-0004,FDA-2006-P-0135-0027,1561,False
FDA-2006-P-0135,FDA-2006-P-0135-0004,FDA-2006-P-0135-0003,177,True
FDA-2006-P-0137,FDA-2006-P-0137-0007,FDA-2006-P-0137-0003,184,False
FDA-2006-P-0138,FDA-2006-P-0138-0004,FDA-2006-P-0138-0003,182,False
FDA-2006-P-0139,FDA-2006-P-0139-0004,FDA-2006-P-0139-0005,1378,False
FDA-2006-P-0139,FDA-2006-P-0139-0004,FDA-2006-P-0139-0003,197,False
FDA-2006-P-0143,FDA-2006-P-0143-0003,FDA-2006-P-0143-0006,177,True
FDA-2006-P-0145,FDA-2006-P-0145-0003,FDA-2006-P-0145-0009,817,False
FDA-2006-P-0147,FDA-2006-P-0147-0004,FDA-2006-P-0147-0003,236,False
FDA-2006-P-0149,FDA-2006-P-0149-0004,FDA-2006-P-0149-0010,2859,False
FDA-2006-P-0150,FDA-2006-P-0150-0003,FDA-2006-P-0150-0005,1797,False
FDA-2006-P-0201,FDA-2006-P-0201-0006,FDA-2006-P-0201-0003,183,False
FDA-2006-P-0201,FDA-2006-P-0201-0006,FDA-2006-P-0201-0005,493,False
FDA-2006-P-0203,FDA-2006-P-0203-0006,FDA-2006-P-0203-0005,190,False
FDA-2006-P-0204,FDA-2006-P-0204-0004,FDA-2006-P-0204-0013,1605,False
FDA-2006-P-0213,FDA-2006-P-0213-0003,FDA-2006-P-0213-0001,294,False
FDA-2006-P-0213,FDA-2006-P-0213-0003,FDA-2006-P-0213-0013,2166,False
FDA-2006-P-0265,FDA-2006-P-0265-0006,FDA-2006-P-0265-0003,175,True
FDA-2006-P-0265,FDA-2006-P-0265-0006,FDA-2006-P-0265-0005,397,False
FDA-2006-P-0270,FDA-2006-P-0270-0007,FDA-2006-P-0270-0014,1227,False
FDA-2006-P-0270,FDA-2006-P-0270-0007,FDA-2006-P-0270-0005,177,True
FDA-2006-P-0270,FDA-2006-P-0270-0007,FDA-2006-P-0270-0022,1730,False
FDA-2006-P-0274,FDA-2006-P-0274-0004,FDA-2006-P-0274-0014,520,False
FDA-2006-P-0274,FDA-2006-P-0274-0004,FDA-2006-P-0274-0003,177,True
FDA-2006-P-0276,FDA-2006-P-0276-0005,FDA-2006-P-0276-0004,374,False
FDA-2006-P-0276,FDA-2006-P-0276-0005,FDA-2006-P-0276-0009,3412,False
FDA-2006-P-0280,FDA-2006-P-0280-0003,FDA-2006-P-0280-0007,823,False
FDA-2006-P-0286,FDA-2006-P-0286-0003,FDA-2006-P-0286-0004,1359,False
FDA-2006-P-0287,FDA-2006-P-0287-0005,FDA-2006-P-0287-0003,198,False
FDA-2006-P-0287,FDA-2006-P-0287-0005,FDA-2006-P-0287-0004,253,False
FDA-2006-P-0325,FDA-2006-P-0325-0005,FDA-2006-P-0325-0006,571,False
FDA-2006-P-0326,FDA-2006-P-0326-0003,FDA-2006-P-0326-0001,178,True
FDA-2006-P-0326,FDA-2006-P-0326-0003,FDA-2006-P-0326-0002,304,False
FDA-2006-P-0327,FDA-2006-P-0327-0006,FDA-2006-P-0327-0005,314,False
FDA-2006-P-0329,FDA-2006-P-0329-0007,FDA-2006-P-0329-0003,179,True
FDA-2006-P-0329,FDA-2006-P-0329-0007,FDA-2006-P-0329-0008,1691,False
FDA-2006-P-0331,FDA-2006-P-0331-0005,FDA-2006-P-0331-0008,1226,False
FDA-2006-P-0331,FDA-2006-P-0331-0005,FDA-2006-P-0331-0004,177,True
FDA-2006-P-0332,FDA-2006-P-0332-0004,FDA-2006-P-0332-0003,78,True
FDA-2006-P-0335,FDA-2006-P-0335-0043,FDA-2006-P-0335-0042,182,False
FDA-2006-P-0335,FDA-2006-P-0335-0043,FDA-2006-P-0335-0052,460,False
FDA-2006-P-0338,FDA-2006-P-0338-0034,FDA-2006-P-0338-0118,2552,False
FDA-2006-P-0343,FDA-2006-P-0343-0004,FDA-2006-P-0343-0003,183,False
FDA-2006-P-0343,FDA-2006-P-0343-0004,FDA-2006-P-0343-0008,2360,False
FDA-2006-P-0343,FDA-2006-P-0343-0004,FDA-2006-P-0343-0005,2114,False
FDA-2006-P-0346,FDA-2006-P-0346-0006,FDA-2006-P-0346-0005,179,True
FDA-2006-P-0346,FDA-2006-P-0346-0006,FDA-2006-P-0346-0017,2075,False
FDA-2006-P-0347,FDA-2006-P-0347-0005,FDA-2006-P-0347-0004,436,False
FDA-2006-P-0386,FDA-2006-P-0386-0002,FDA-2006-P-0386-0006,1557,False
FDA-2006-P-0386,FDA-2006-P-0386-0002,FDA-2006-P-0386-0001,184,False
FDA-2006-P-0387,FDA-2006-P-0387-0006,FDA-2006-P-0387-0003,178,True
FDA-2006-P-0390,FDA-2006-P-0390-0004,FDA-2006-P-0390-0005,696,False
FDA-2006-P-0390,FDA-2006-P-0390-0004,FDA-2006-P-0390-0003,183,False
FDA-2006-P-0393,FDA-2006-P-0393-0005,FDA-2006-P-0393-0007,2889,False
FDA-2006-P-0400,FDA-2006-P-0400-0004,FDA-2006-P-0400-0003,416,False
FDA-2006-P-0447,FDA-2006-P-0447-0004,FDA-2006-P-0447-0001,181,False
FDA-2006-P-0447,FDA-2006-P-0447-0004,FDA-2006-P-0447-0003,482,False
FDA-2006-P-0448,FDA-2006-P-0448-0002,FDA-2006-P-0448-0006,1786,False
FDA-2006-P-0451,FDA-2006-P-0451-0004,FDA-2006-P-0451-0003,175,True
FDA-2006-P-0451,FDA-2006-P-0451-0004,FDA-2006-P-0451-0010,2489,False
FDA-2006-P-0452,FDA-2006-P-0452-0004,FDA-2006-P-0452-0003,174,True
FDA-2006-P-0453,FDA-2006-P-0453-0004,FDA-2006-P-0453-0003,179,True
FDA-2006-P-0453,FDA-2006-P-0453-0004,FDA-2006-P-0453-0005,2941,False
FDA-2006-P-0455,FDA-2006-P-0455-0004,FDA-2006-P-0455-0003,183,False
FDA-2006-P-0459,FDA-2006-P-0459-0004,FDA-2006-P-0459-0003,421,False
FDA-2006-P-0460,FDA-2006-P-0460-0005,FDA-2006-P-0460-0004,176,True
FDA-2006-P-0461,FDA-2006-P-0461-0011,FDA-2006-P-0461-0006,181,False
FDA-2006-P-0518,FDA-2006-P-0518-0001,FDA-2006-P-0518-0003,176,True
FDA-2007-P-0001,FDA-2007-P-0001-0004,FDA-2007-P-0001-0002,21,True
FDA-2007-P-0003,FDA-2007-P-0003-0004,FDA-2007-P-0003-0008,179,True
FDA-2007-P-0003,FDA-2007-P-0003-0004,FDA-2007-P-0003-0009,293,False
FDA-2007-P-0004,FDA-2007-P-0004-0003,FDA-2007-P-0004-0008,3520,False
FDA-2007-P-0005,FDA-2007-P-0005-0004,FDA-2007-P-0005-0003,182,False
FDA-2007-P-0008,FDA-2007-P-0008-0007,FDA-2007-P-0008-0003,180,True
FDA-2007-P-0009,FDA-2007-P-0009-0002,FDA-2007-P-0009-0009,1284,False
FDA-2007-P-0009,FDA-2007-P-0009-0002,FDA-2007-P-0009-0010,2087,False
FDA-2007-P-0010,FDA-2007-P-0010-0002,FDA-2007-P-0010-0013,214,False
FDA-2007-P-0011,FDA-2007-P-0011-0004,FDA-2007-P-0011-0003,181,False
FDA-2007-P-0011,FDA-2007-P-0011-0004,FDA-2007-P-0011-0006,376,False
FDA-2007-P-0012,FDA-2007-P-0012-0004,FDA-2007-P-0012-0003,180,True
FDA-2007-P-0013,FDA-2007-P-0013-0002,FDA-2007-P-0013-0003,196,False
FDA-2007-P-0016,FDA-2007-P-0016-0002,FDA-2007-P-0016-0006,1357,False
FDA-2007-P-0017,FDA-2007-P-0017-0002,FDA-2007-P-0017-0007,364,False
FDA-2007-P-0050,FDA-2007-P-0050-0023,FDA-2007-P-0050-0004,27,True
FDA-2007-P-0051,FDA-2007-P-0051-0002,FDA-2007-P-0051-0003,1195,False
FDA-2007-P-0052,FDA-2007-P-0052-0002,FDA-2007-P-0052-0006,79,True
FDA-2007-P-0055,FDA-2007-P-0055-0004,FDA-2007-P-0055-0003,206,False
FDA-2007-P-0055,FDA-2007-P-0055-0004,FDA-2007-P-0055-0007,3609,False
FDA-2007-P-0056,FDA-2007-P-0056-0004,FDA-2007-P-0056-0003,179,True
FDA-2007-P-0061,FDA-2007-P-0061-0002,FDA-2007-P-0061-0004,1390,False
FDA-2007-P-0062,FDA-2007-P-0062-0003,FDA-2007-P-0062-0007,1580,False
FDA-2007-P-0064,FDA-2007-P-0064-0003,FDA-2007-P-0064-0002,183,False
FDA-2007-P-0064,FDA-2007-P-0064-0003,FDA-2007-P-0064-0004,3546,False
FDA-2007-P-0065,FDA-2007-P-0065-0006,FDA-2007-P-0065-0005,180,True
FDA-2007-P-0065,FDA-2007-P-0065-0006,FDA-2007-P-0065-0015,691,False
FDA-2007-P-0108,FDA-2007-P-0108-0005,FDA-2007-P-0108-0003,209,False
FDA-2007-P-0109,FDA-2007-P-0109-0002,FDA-2007-P-0109-0012,911,False
FDA-2007-P-0110,FDA-2007-P-0110-0002,FDA-2007-P-0110-0003,177,True
FDA-2007-P-0110,FDA-2007-P-0110-0002,FDA-2007-P-0110-0004,1037,False
FDA-2007-P-0111,FDA-2007-P-0111-0003,FDA-2007-P-0111-0008,174,True
FDA-2007-P-0111,FDA-2007-P-0111-0003,FDA-2007-P-0111-0013,689,False
FDA-2007-P-0113,FDA-2007-P-0113-0002,FDA-2007-P-0113-0011,176,True
FDA-2007-P-0113,FDA-2007-P-0113-0002,FDA-2007-P-0113-0028,2566,False
FDA-2007-P-0114,FDA-2007-P-0114-0003,FDA-2007-P-0114-0006,746,False
FDA-2007-P-0115,FDA-2007-P-0115-0003,FDA-2007-P-0115-0002,160,True
FDA-2007-P-0117,FDA-2007-P-0117-0006,FDA-2007-P-0117-0011,629,False
FDA-2007-P-0118,FDA-2007-P-0118-0012,FDA-2007-P-0118-0025,751,False
FDA-2007-P-0118,FDA-2007-P-0118-0012,FDA-2007-P-0118-0026,751,False
FDA-2007-P-0118,FDA-2007-P-0118-0012,FDA-2007-P-0118-0027,751,False
FDA-2007-P-0118,FDA-2007-P-0118-0012,FDA-2007-P-0118-0028,751,False
FDA-2007-P-0118,FDA-2007-P-0118-0012,FDA-2007-P-0118-0029,751,False
FDA-2007-P-0118,FDA-2007-P-0118-0012,FDA-2007-P-0118-0030,751,False
FDA-2007-P-0118,FDA-2007-P-0118-0012,FDA-2007-P-0118-0031,751,False
FDA-2007-P-0118,FDA-2007-P-0118-0012,FDA-2007-P-0118-0032,751,False
FDA-2007-P-0118,FDA-2007-P-0118-0012,FDA-2007-P-0118-0033,751,False
FDA-2007-P-0118,FDA-2007-P-0118-0012,FDA-2007-P-0118-0034,751,False
FDA-2007-P-0118,FDA-2007-P-0118-0012,FDA-2007-P-0118-0035,751,False
FDA-2007-P-0118,FDA-2007-P-0118-0013,FDA-2007-P-0118-0025,742,False
FDA-2007-P-0118,FDA-2007-P-0118-0013,FDA-2007-P-0118-0026,742,False
FDA-2007-P-0118,FDA-2007-P-0118-0013,FDA-2007-P-0118-0027,742,False
