Document ID,Docket ID,Title,Petition Date,Response Date,FDA Center,Petitioner,"Type of Document (Petition, Interim Response, Final Response)",Response Type,Mined_Response_Type,Document_Role,is_scanned
FDA-2002-P-0007-0009,FDA-2002-P-0007,Citizens Petition from The Weinberg Group Inc ,,,,The Weinberg Group Inc,Other,,,Correspondence,False
FDA-2002-P-0041-0025,FDA-2002-P-0041,Scientific report prepared by Michael Glade  Ph D ,,,,,Other,,,Other Document,True
FDA-2002-P-0042-0001,FDA-2002-P-0042,FDA DDM to Barr Laboratories  Inc ,,,ORA,Barr Laboratories  Inc,Other,,,Other Document,False
FDA-2002-P-0007-0008,FDA-2002-P-0007,Letter from FDA DDM to The Weinberg Group Inc ,,,,FDA DDM to The Weinberg Group Inc,Letter,,,Correspondence,False
FDA-2002-P-0043-0001,FDA-2002-P-0043,FDA DDM to Barr Laboratories,,,ORA,Barr Laboratories,Other,,,Other Document,False
FDA-2002-P-0068-0001,FDA-2002-P-0068,FDA   Notice of Final Rule,,,,,Other,,,Other Document,False
FDA-2002-P-0001-0001,FDA-2002-P-0001,Determination That Periactin Was Not Withdrawn Fro,,,,,Other,,Withdrawn,Correspondence,False
FDA-2002-P-0073-0011,FDA-2002-P-0073,HFC 1 to Olsson  Frank and Weeda  PC,,,,Olsson  Frank and Weeda  PC,Other,,,Other Document,False
FDA-2002-P-0073-0005,FDA-2002-P-0073,HFC 1 to Olsson  Frank and Weeda  PC,,,,Olsson  Frank and Weeda  PC,Other,,,Other Document,False
FDA-2002-P-0003-0001,FDA-2002-P-0003,FDA DDM to Winston  amp  Strawn,,,,Winston  amp  Strawn,Other,,,Other Document,False
FDA-2002-P-0007-0011,FDA-2002-P-0007,Petition for Reconsideration from The Weinberg Gro,,,,The Weinberg Gro,Other,,,Other Document,False
FDA-2002-P-0001-0004,FDA-2002-P-0001,Acknowledgement Letter from FDA DDM to CorePharma ,,,,FDA DDM to CorePharma,Letter,,,Final FDA Response,False
FDA-2002-P-0073-0015,FDA-2002-P-0073,HFC 1 to Olsson  Frank and Weeda  PC,,,ORA,Olsson  Frank and Weeda  PC,Other,,,Other Document,False
FDA-2002-P-0007-0013,FDA-2002-P-0007,FDA CDER Response to The Weinberg Group Inc Denial,,,CDER,The Weinberg Group Inc Denial,Final Response,,Denied,Other Document,False
FDA-2002-P-0070-0003,FDA-2002-P-0070,FDA DDM to Michael Lisjak,,,,Michael Lisjak,Other,,,Other Document,False
FDA-2002-P-0002-0003,FDA-2002-P-0002,Acknowledgment Letter from FDA DDM to Bayer Corpor,,,ORA,FDA DDM to Bayer Corpor,Letter,,,Correspondence,False
FDA-2002-P-0003-0002,FDA-2002-P-0003,FDA CDER to Caraco Pharms Labs  Ltd ,,,CDER,Caraco Pharms Labs  Ltd,Other,,Approved,Other Document,False
FDA-2002-P-0047-0003,FDA-2002-P-0047,FDA CDER to Lavender Consulting Services,,,CDER,Lavender Consulting Services,Other,,,Other Document,False
FDA-2002-P-0048-0001,FDA-2002-P-0048,HFD 600 to Banner Pharmacaps  Inc,,,,Banner Pharmacaps  Inc,Other,,,Other Document,True
FDA-2002-P-0004-0003,FDA-2002-P-0004,Petition Denial Letter from FDA Associate Commissi,,,ORA,FDA Associate Commissi,Final Response,,Denied,Final FDA Response,False
FDA-2002-P-0073-0006,FDA-2002-P-0073,HFC 1 to Olsson  Frank and Weeda  PC,,,ORA,Olsson  Frank and Weeda  PC,Other,,,Other Document,False
FDA-2002-P-0071-0002,FDA-2002-P-0071,HFD 001 to Berlex Laboratories  Inc ,,,ORA,Berlex Laboratories  Inc,Other,,Denied,Other Document,False
FDA-2002-P-0073-0012,FDA-2002-P-0073,HFC 1 to Olsson  Frank and Weeda  PC,,,ORA,Olsson  Frank and Weeda  PC,Other,,,Other Document,False
FDA-2002-P-0004-0001,FDA-2002-P-0004,Letter from FDA Associate Commissioner for Regulat,,,ORA,FDA Associate Commissioner for Regulat,Letter,,,Final FDA Response,False
FDA-2002-P-0047-0002,FDA-2002-P-0047,FDA DDM to Lavender Consulting Services  Inc,,,,Lavender Consulting Services  Inc,Other,,,Other Document,False
FDA-2002-P-0073-0016,FDA-2002-P-0073,HFC 1 to Olsson  Frank and Weeda  PC,,,CFSAN,Olsson  Frank and Weeda  PC,Other,,,Other Document,False
FDA-2002-P-0073-0002,FDA-2002-P-0073,HFC 1 to Olsson  Frank and Weeda  PC,,,ORA,Olsson  Frank and Weeda  PC,Other,,,Other Document,False
FDA-2002-P-0007-0003,FDA-2002-P-0007,Petition Denial from FDA CDER to The Weinberg Grou,,,CDER,FDA CDER to The Weinberg Grou,Final Response,,Denied,Final FDA Response,False
FDA-2002-P-0050-0001,FDA-2002-P-0050,FDA DDM to SciRegs,,,,SciRegs,Other,,,Other Document,False
FDA-2002-P-0051-0002,FDA-2002-P-0051,Letter from FDA DMB to Kleinfeld  Kaplan and Backe,,,ORA,FDA DMB to Kleinfeld  Kaplan and Backe,Letter,,,Correspondence,False
FDA-2002-P-0005-0001,FDA-2002-P-0005,FDA DDM to Highland VetPharma  LLC,,,,Highland VetPharma  LLC,Other,,,Other Document,False
FDA-2002-P-0006-0002,FDA-2002-P-0006,FDA CDER to Lachman Consultant Services ,,,CDER,Lachman Consultant Services,Other,,,Other Document,False
FDA-2002-P-0069-0005,FDA-2002-P-0069,Letter from FDA CDER to Barr Laboratories  Inc ,,,CDER,FDA CDER to Barr Laboratories  Inc,Letter,,,Correspondence,False
FDA-2003-P-0174-0031,FDA-2003-P-0174,GlaxoSmithKline  GSK    Supplement 6,,,,,Other,,,Other Document,False
FDA-2003-P-0181-0003,FDA-2003-P-0181,Petition Approval from FDA CDER to Lachman Consult,,,CDER,FDA CDER to Lachman Consult,Final Response,,Approved,Correspondence,False
FDA-2003-P-0180-0001,FDA-2003-P-0180,Acknowledgment Letter from FDA DMB to Taro Pharmac,,,,FDA DMB to Taro Pharmac,Letter,,,Correspondence,False
FDA-2003-P-0179-0002,FDA-2003-P-0179,Petition Denial from FDA CDER to Hogan   Hartson  ,,,CDER,FDA CDER to Hogan   Hartson,Final Response,,Denied,Correspondence,False
FDA-2003-P-0122-0008,FDA-2003-P-0122,Amendment from Lachman Consultant Services  Inc ,,,,Lachman Consultant Services  Inc,Other,,,Final FDA Response,False
FDA-2003-P-0174-0033,FDA-2003-P-0174,Honeywell    Supplement 8,,,,,Other,,,Other Document,False
FDA-2003-P-0124-0002,FDA-2003-P-0124,Petition Denial from FDA CDRH to Chemically Associ,,,CDRH,FDA CDRH to Chemically Associ,Final Response,,,Correspondence,True
FDA-2003-P-0120-0002,FDA-2003-P-0120,Notice of Determination,,,,,Other,,,Correspondence,False
FDA-2003-P-0177-0001,FDA-2003-P-0177,Acknowledgment Letter from FDA DMB to Stockbridge ,,,,FDA DMB to Stockbridge,Letter,,,Correspondence,False
FDA-2003-P-0175-0001,FDA-2003-P-0175,Letter from FDA Associate Commissioner for Policy ,,,,FDA Associate Commissioner for Policy,Letter,,,Correspondence,False
FDA-2003-P-0171-0006,FDA-2003-P-0171,Letter from Kerry  Inc  and Mullins Cheese  Inc ,,,,Kerry  Inc  and Mullins Cheese  Inc,Letter,,,Other Document,False
FDA-2003-P-0122-0001,FDA-2003-P-0122,Acknowledgement Letter from FDA Division of Docket,,,,FDA Division of Docket,Letter,,,Initial Petition,False
FDA-2003-P-0181-0001,FDA-2003-P-0181,Acknowledgment Letter from FDA DMB to Lachman Cons,,,,FDA DMB to Lachman Cons,Letter,,,Correspondence,False
FDA-2003-P-0116-0005,FDA-2003-P-0116,HF 22 to Fish  amp  Richardson  PC and Arnold  amp,,,,Fish  amp  Richardson  PC and Arnold  amp,Other,,,Other Document,False
FDA-2003-P-0118-0001,FDA-2003-P-0118,Acknowledgment Letter from FDA DMB to Vetoquinol N,,,ORA,FDA DMB to Vetoquinol N,Letter,,,Correspondence,False
FDA-2003-P-0120-0001,FDA-2003-P-0120,Acknowledgment Letter from FDA DMB The Weinberg Gr,,,,FDA DMB The Weinberg Gr,Letter,,,Other Document,False
FDA-2003-P-0174-0029,FDA-2003-P-0174,International Pharmaceutical Aerosol Consortium  I,,,,,Other,,,Final FDA Response,True
FDA-2003-P-0118-0004,FDA-2003-P-0118,Petition Approval from FDA CVM to Vetoquinol N  A ,,,CVM,FDA CVM to Vetoquinol N  A,Final Response,,Approved,Correspondence,False
FDA-2003-P-0116-0004,FDA-2003-P-0116,HFD 5 to Fish  amp  Richardson and Arnold  amp  Po,,,,Fish  amp  Richardson and Arnold  amp  Po,Other,,,Other Document,False
FDA-2003-P-0178-0002,FDA-2003-P-0178,Acknowledgment Letter from FDA DDM to Abbott Labor,,,,FDA DDM to Abbott Labor,Letter,,,Correspondence,False
FDA-2003-P-0173-0001,FDA-2003-P-0173,Acknowledgment Letter from FDA DMB to Family Care ,,,,FDA DMB to Family Care,Letter,,,Correspondence,False
FDA-2003-P-0123-0002,FDA-2003-P-0123,Petition Approval from FDA CDER to Faulding Pharma,,,CDER,FDA CDER to Faulding Pharma,Final Response,,Approved,Other Document,True
FDA-2003-P-0179-0001,FDA-2003-P-0179,Letter from FDA CDER to Hogan   Hartson  LLP,,,CDER,FDA CDER to Hogan   Hartson  LLP,Letter,,,Final FDA Response,False
FDA-2003-P-0118-0003,FDA-2003-P-0118,Suitability Petition from Vetoquinol N  A  Inc ,,,CVM,Vetoquinol N  A  Inc,Other,,,Other Document,False
FDA-2003-P-0174-0032,FDA-2003-P-0174,GlaxoSmithKline  GSK    Supplement 7,,,,,Other,,,Other Document,False
FDA-2003-P-0116-0003,FDA-2003-P-0116,HFA 305 to Allergan  Inc ,,,,Allergan  Inc,Other,,,Other Document,False
FDA-2003-P-0172-0001,FDA-2003-P-0172,Acknowledgment Letter from FDA DMB to Jurox PTY  L,,,,FDA DMB to Jurox PTY  L,Letter,,,Correspondence,False
FDA-2003-P-0126-0001,FDA-2003-P-0126,Acknowledgment Letter from FDA DMB to HRA PHARMA,,,,FDA DMB to HRA PHARMA,Letter,,,Correspondence,False
FDA-2003-P-0122-0006,FDA-2003-P-0122,Amendment from Lachman Consultant Services  Inc ,,,ORA,Lachman Consultant Services  Inc,Other,,,Other Document,False
FDA-2003-P-0171-0005,FDA-2003-P-0171,Request for Temporary Marketing Permit from Kerry ,,,ORA,Kerry,Other,,,Other Document,True
FDA-2003-P-0174-0004,FDA-2003-P-0174,GCF 1 and Barbour Griffith  amp  Rogers Inc  Glaxo,,,CFSAN,,Other,,,Initial Petition,False
FDA-2003-P-0174-0025,FDA-2003-P-0174,HFA 305 to American Lung Assn    Acknowledgement L,,,,American Lung Assn    Acknowledgement L,Other,,,Other Document,False
FDA-2003-P-0121-0002,FDA-2003-P-0121,Petition Approval from FDA CDER to Lachman Consult,,,CDER,FDA CDER to Lachman Consult,Final Response,,Approved,Correspondence,False
FDA-2003-P-0174-0027,FDA-2003-P-0174,International Pharm Aerosol Consortium  IPAC   Sup,,,,,Other,,,Other Document,False
FDA-2003-P-0174-0034,FDA-2003-P-0174,GlaxoSmithKline  GSK    Correction,,,,,Other,,,Other Document,False
FDA-2003-P-0127-0004,FDA-2003-P-0127,The Weinberg Group  Inc     Petition Withdrawal re,,,,,Other,,Withdrawn,Initial Petition,False
FDA-2003-P-0117-0001,FDA-2003-P-0117,Petition Denial from FDA CDER to Zuckerman Spaeder,,,CDER,FDA CDER to Zuckerman Spaeder,Final Response,,Denied,Final FDA Response,False
FDA-2003-P-0174-0030,FDA-2003-P-0174,GlaxoSmithKline  GSK    Supplement 5,,,,,Other,,,Other Document,True
FDA-2003-P-0122-0007,FDA-2003-P-0122,Amendment from Lachman Consultant Services  Inc ,,,,Lachman Consultant Services  Inc,Other,,,Other Document,True
FDA-2003-P-0178-0001,FDA-2003-P-0178,Acknowledgment Letter from FDA DDM to Abbott Labor,,,ORA,FDA DDM to Abbott Labor,Letter,,,Correspondence,False
FDA-2003-P-0127-0001,FDA-2003-P-0127,Acknowledgement Letter from FDA DMB to The Weinber,,,,FDA DMB to The Weinber,Letter,,,Other Document,False
FDA-2003-P-0174-0005,FDA-2003-P-0174,FDA   Proposed Rule   Pre Pub,,,,,Other,,,Other Document,False
FDA-2003-P-0171-0002,FDA-2003-P-0171,FDA Notice of Temporary Permit for Market Testing,,,ORA,,Other,,,Correspondence,False
FDA-2003-P-0182-0001,FDA-2003-P-0182,Acknowledgment Letter from FDA DDM to Eugene G  Ke,,,,FDA DDM to Eugene G  Ke,Letter,,,Correspondence,True
FDA-2003-P-0119-0001,FDA-2003-P-0119,Petition Approval from FDA CDER to Lachman Consult,,,CDER,FDA CDER to Lachman Consult,Final Response,,Approved,Final FDA Response,False
FDA-2003-P-0171-0001,FDA-2003-P-0171,FDA Notice of Temporary Permit,,,ORA,,Other,,,Other Document,False
FDA-2003-P-0118-0002,FDA-2003-P-0118,Unsigned Acknowledgment Letter from FDA DMB to Vet,,,,FDA DMB to Vet,Letter,,,Final FDA Response,False
FDA-2003-P-0171-0004,FDA-2003-P-0171,FDA   Notice of Temporary Permit,,,ORA,,Other,,,Other Document,False
FDA-2003-P-0172-0002,FDA-2003-P-0172,Acknowledgment Letter from FDA DMB to Jurox PTY  L,,,,FDA DMB to Jurox PTY  L,Letter,,,Correspondence,False
FDA-2003-P-0171-0003,FDA-2003-P-0171,Letter from FDA CFSAN to Bell  Boyd   Lloyd  L L C,,,CFSAN,FDA CFSAN to Bell  Boyd   Lloyd  L L C,Letter,,,Correspondence,False
FDA-2003-P-0180-0002,FDA-2003-P-0180,Petition Approval from FDA CDER to Taro Pharmaceut,,,CDER,FDA CDER to Taro Pharmaceut,Final Response,,Approved,Final FDA Response,False
FDA-2003-P-0116-0001,FDA-2003-P-0116,HFA 305 to Allergan  Inc ,,,,Allergan  Inc,Other,,,Other Document,False
FDA-2003-P-0174-0006,FDA-2003-P-0174,FDA   Proposed Rule   Pre Pub,,,ORA,,Other,,,Other Document,False
FDA-2003-P-0126-0002,FDA-2003-P-0126,Petition Denial from FDA CDER to HRA Pharma,,,CDER,FDA CDER to HRA Pharma,Final Response,,Denied,Final FDA Response,False
FDA-2003-P-0124-0003,FDA-2003-P-0124,Acknowledgment Letter from FDA DMB to Worldclient,,,,FDA DMB to Worldclient,Letter,,,Final FDA Response,False
FDA-2003-P-0124-0001,FDA-2003-P-0124,Acknowledgment Letter from FDA DMB to Chemically A,,,,FDA DMB to Chemically A,Letter,,,Correspondence,False
FDA-2003-P-0177-0002,FDA-2003-P-0177,Memorandum of Telephone Conversation,,,ORA,,Other,,,Other Document,False
FDA-2003-P-0123-0001,FDA-2003-P-0123,HFA 305 to Faulding Pharmaceutical Company,,,,Faulding Pharmaceutical Company,Other,,,Final FDA Response,False
FDA-2003-P-0176-0001,FDA-2003-P-0176,HFA 305,,,,,Other,,,Other Document,False
FDA-2003-P-0174-0003,FDA-2003-P-0174,GCF 1 and Barbour Griffith  amp  Rogers Inc  Glaxo,,,,,Other,,,Other Document,False
FDA-2003-P-0174-0026,FDA-2003-P-0174,GlaxoSmithKline   Supplement 1,,,,,Other,,,Other Document,False
FDA-2003-P-0173-0002,FDA-2003-P-0173,Petition Approval from FDA Associate Commissioner ,,,,FDA Associate Commissioner,Final Response,,Approved,Final FDA Response,False
FDA-2003-P-0172-0004,FDA-2003-P-0172,Petition Approval from FDA CVM to Jurox PTY  Limit,,,CVM,FDA CVM to Jurox PTY  Limit,Final Response,,Approved,Correspondence,False
FDA-2003-P-0181-0002,FDA-2003-P-0181,Acknowledgment Letter from FDA DMB to Lachman Cons,,,,FDA DMB to Lachman Cons,Letter,,,Final FDA Response,False
FDA-2003-P-0123-0003,FDA-2003-P-0123,Letter from FDA CDER to Faulding Pharmaceutical Co,,,CDER,FDA CDER to Faulding Pharmaceutical Co,Letter,,,Correspondence,True
FDA-2003-P-0172-0003,FDA-2003-P-0172,Correction of Acknowledgment Letter from FDA DMB t,,,,FDA DMB t,Letter,,,Final FDA Response,False
FDA-2003-P-0174-0018,FDA-2003-P-0174,FDA   Final Rule   Pre Pub,,,ORA,,Other,,,Other Document,False
FDA-2003-P-0122-0002,FDA-2003-P-0122,Acknowledgement Letter from FDA Division of Docket,,,ORA,FDA Division of Docket,Letter,,,Other Document,False
FDA-2003-P-0121-0001,FDA-2003-P-0121,Acknowledgment Letter from FDA DMB to Lachman Cons,,,,FDA DMB to Lachman Cons,Letter,,,Final FDA Response,False
FDA-2003-P-0174-0028,FDA-2003-P-0174,Glaxo SmithKline   Supplement 3,,,,,Other,,,Other Document,False
FDA-2004-P-0280-0001,FDA-2004-P-0280,Acknowledgment Letter from FDA DMB to Intervet  In,,,,FDA DMB to Intervet  In,Letter,,,Correspondence,False
FDA-2004-P-0005-0003,FDA-2004-P-0005,Acknowledgment Letter from FDA DMB to Beth Rosensh,,,,FDA DMB to Beth Rosensh,Letter,,,Correspondence,False
FDA-2004-P-0205-0010,FDA-2004-P-0205,Beverage Institute for Health and Wellness  BHWI  ,,,,,Other,,,Correspondence,False
FDA-2004-P-0294-0013,FDA-2004-P-0294,State of Connecticut(1),,,,,Other,,,Other Document,True
FDA-2004-P-0116-0001,FDA-2004-P-0116,HFA 305 to The Tatia Oden French Memorial Foundati,,,,The Tatia Oden French Memorial Foundati,Other,,,Other Document,False
FDA-2004-P-0001-0002,FDA-2004-P-0001,Acknowledgement Letter to Coalition for Mercury fr,,,,Coalition for Mercury fr,Letter,,,Final FDA Response,True
FDA-2004-P-0275-0014,FDA-2004-P-0275,HF 22,,,ORA,,Other,,,Other Document,True
FDA-2004-P-0294-0041,FDA-2004-P-0294,State of Connecticut,,,,,Other,,,Other Document,True
FDA-2004-P-0164-0005,FDA-2004-P-0164,FDA HFA 305 to Bill Pierson   Acknowledgement Lett,,,,Bill Pierson   Acknowledgement Lett,Other,,,Other Document,False
FDA-2004-P-0223-0006,FDA-2004-P-0223,Agenda for March 29  2006 Meeting   List,,,,,Other,,,Other Document,False
FDA-2004-P-0162-0001,FDA-2004-P-0162,Acknowledgment Letter from FDA CDER to Endo Pharma,,,CDER,FDA CDER to Endo Pharma,Letter,,,Correspondence,False
FDA-2004-P-0294-0018,FDA-2004-P-0294,State of Connecticut,,,,,Other,,,Other Document,True
FDA-2004-P-0214-0001,FDA-2004-P-0214,HFA 305 to Genentech  Inc,,,,Genentech  Inc,Other,,,Other Document,False
FDA-2004-P-0219-0002,FDA-2004-P-0219,Acknowledgment Letter from FDA DMB to ACIC Fine Ch,,,,FDA DMB to ACIC Fine Ch,Letter,,,Correspondence,False
FDA-2004-P-0220-0002,FDA-2004-P-0220,Acknowledgment Letter from FDA DMB to First Priori,,,ORA,FDA DMB to First Priori,Letter,,,Correspondence,False
FDA-2004-P-0285-0010,FDA-2004-P-0285,FDA CDRH to Endotec  Incorporated,,,CDRH,Endotec  Incorporated,Other,,,Other Document,False
FDA-2004-P-0088-0001,FDA-2004-P-0088,Acknowledgment Letter from FDA DMB to Arent Fox Ki,,,,FDA DMB to Arent Fox Ki,Letter,,,Correspondence,False
FDA-2004-P-0086-0007,FDA-2004-P-0086,Withdrawal Letter from FDA CDER OGD to Ben Venue L,,,CDER,FDA CDER OGD to Ben Venue L,Letter,,Withdrawn,Initial Petition,True
FDA-2004-P-0285-0004,FDA-2004-P-0285,HFA 305 to Endotec  Incorporated,,,ORA,Endotec  Incorporated,Other,,,Other Document,False
FDA-2004-P-0016-0002,FDA-2004-P-0016,Acknowledgment Letter from FDA DMB to Bioniche Ani,,,,FDA DMB to Bioniche Ani,Letter,,,Correspondence,False
FDA-2004-P-0275-0021,FDA-2004-P-0275,HF 22,,,,,Other,,,Other Document,True
FDA-2004-P-0275-0005,FDA-2004-P-0275,HFS 830,,,,,Other,,,Other Document,False
FDA-2004-P-0013-0002,FDA-2004-P-0013,Acknowledgment Letter from FDA DMB to Hikma Farmac,,,,FDA DMB to Hikma Farmac,Letter,,,Correspondence,False
FDA-2004-P-0336-0001,FDA-2004-P-0336,HFS 830 to National Barley Foods Council,,,,National Barley Foods Council,Other,,,Other Document,False
FDA-2004-P-0294-0045,FDA-2004-P-0294,State of Connecticut,,,ORA,,Other,,,Other Document,True
FDA-2004-P-0335-0003,FDA-2004-P-0335,HFA 305 to Shire US  Inc ,,,,Shire US  Inc,Other,,,Other Document,False
FDA-2004-P-0285-0003,FDA-2004-P-0285,HFA 305 to Endotec  Incorporated,,,ORA,Endotec  Incorporated,Other,,,Other Document,False
FDA-2004-P-0157-0004,FDA-2004-P-0157,Envelope,,,,,Other,,,Initial Petition,True
FDA-2004-P-0275-0035,FDA-2004-P-0275,HF 22,,,ORA,,Other,,,Other Document,True
FDA-2004-P-0223-0004,FDA-2004-P-0223,FDA CDRH to Russel J  Thomsen  M D    Letter,,,CDRH,Russel J  Thomsen  M D    Letter,Letter,,,Other Document,False
FDA-2004-P-0146-0003,FDA-2004-P-0146,Citizen Petition Denial from FDA CDER to White   M,,,CDER,FDA CDER to White   M,Petition,,,Correspondence,True
FDA-2004-P-0019-0001,FDA-2004-P-0019,Acknowledgment Letter from FDA CDER to Lachman Con,,,CDER,FDA CDER to Lachman Con,Letter,,,Correspondence,False
FDA-2004-P-0155-0001,FDA-2004-P-0155,Acknowledgement Letter from FDA DMB to Cancer Acti,,,,FDA DMB to Cancer Acti,Letter,,,Other Document,False
FDA-2004-P-0277-0003,FDA-2004-P-0277,HFD 1 to Daniel Brookoff MD PhD  Eric A Voth MD FA,,,ORA,Daniel Brookoff MD PhD  Eric A Voth MD FA,Other,,Denied,Other Document,False
FDA-2004-P-0283-0001,FDA-2004-P-0283,Acknowledgment Letter from FDA DMB to Lachman Cons,,,,FDA DMB to Lachman Cons,Letter,,,Correspondence,False
FDA-2004-P-0337-0001,FDA-2004-P-0337,Acknowledgment Letter from FDA DMB to AAC Consulti,,,ORA,FDA DMB to AAC Consulti,Letter,,,Correspondence,False
FDA-2004-P-0294-0010,FDA-2004-P-0294,State of Connecticut,,,,,Other,,,Other Document,True
FDA-2004-P-0285-0005,FDA-2004-P-0285,HFZ 400 to Endotec  Incorporated,,,ORA,Endotec  Incorporated,Other,,,Other Document,False
FDA-2004-P-0294-0027,FDA-2004-P-0294,State of Connecticut,,,,,Other,,,Other Document,True
FDA-2004-P-0275-0019,FDA-2004-P-0275,HF 22,,,,,Other,,,Other Document,True
FDA-2004-P-0102-0001,FDA-2004-P-0102,Acknowledgment Letter from FDA DMB to Lachman Cons(2),,,,FDA DMB to Lachman Cons(2),Letter,,,Correspondence,False
FDA-2004-P-0210-0001,FDA-2004-P-0210,Acknowledgement Letter from FDA DMB to Center for ,,,,FDA DMB to Center for,Letter,,,Initial Petition,False
FDA-2004-P-0087-0002,FDA-2004-P-0087,Acknowledgment Letter from FDA DMB to Lachman Cons,,,,FDA DMB to Lachman Cons,Letter,,,Correspondence,False
FDA-2004-P-0333-0002,FDA-2004-P-0333,Notice of Final Rule  Medical Devices  Immunology ,,,,,Other,,,Initial Petition,False
FDA-2004-P-0088-0003,FDA-2004-P-0088,Letter from FDA CDER to Arent Fox  P L L C ,,,CDER,FDA CDER to Arent Fox  P L L C,Letter,,,Correspondence,False
FDA-2004-P-0001-0012,FDA-2004-P-0001,Coalition for Mercury Free Drugs  CoMeD    Letter,,,,,Letter,,,Final FDA Response,False
FDA-2004-P-0100-0007,FDA-2004-P-0100,Letter from FDA CDRH to City of Arlington Texas,,,CDRH,FDA CDRH to City of Arlington Texas,Letter,,,Correspondence,False
FDA-2004-P-0151-0010,FDA-2004-P-0151,McNeil Consumer   Specialty Pharmaceuticals   Supp,,,,,Other,,,Other Document,False
FDA-2004-P-0115-0001,FDA-2004-P-0115,Acknowledgement Letter from FDA DDM to Barbara Nes,,,,FDA DDM to Barbara Nes,Letter,,,Initial Petition,False
FDA-2004-P-0012-0006,FDA-2004-P-0012,Letter from FDA CDER to Hikma Farmaceutica  Portug,,,CDER,FDA CDER to Hikma Farmaceutica  Portug,Letter,,,Correspondence,False
FDA-2004-P-0096-0001,FDA-2004-P-0096,Acknowledgment Letter from FDA DMB to Lachman Cons,,,,FDA DMB to Lachman Cons,Letter,,,Correspondence,False
FDA-2004-P-0010-0006,FDA-2004-P-0010,Letter from FDA CDER to Wapner  Newman  Esq ,,,CDER,FDA CDER to Wapner  Newman  Esq,Letter,,,Correspondence,False
FDA-2004-P-0155-0006,FDA-2004-P-0155,Cancer Action NY  Cancer Action Network   Suppleme,,,,,Other,,,Interim FDA Response,False
FDA-2004-P-0339-0003,FDA-2004-P-0339,FDA CDER to Morgan Lewis   Bocklus LLP,,,CDER,Morgan Lewis   Bocklus LLP,Other,,,Other Document,False
FDA-2004-P-0215-0017,FDA-2004-P-0215,Hill Dermaceuticals  Inc    Amendment,,,,,Other,,,Correspondence,False
FDA-2004-P-0159-0001,FDA-2004-P-0159,Acknowledgment Letter from FDA DMB to Ancare New Z,,,,FDA DMB to Ancare New Z,Letter,,,Correspondence,False
FDA-2004-P-0211-0002,FDA-2004-P-0211,Acknowledgement Letter from FDA DMB to D ARDY Revo,,,,FDA DMB to D ARDY Revo,Letter,,,Correspondence,False
FDA-2004-P-0029-0004,FDA-2004-P-0029,Citizen Petition Denial from FDA CDER to Nico Worl,,,CDER,FDA CDER to Nico Worl,Petition,,Denied,Correspondence,False
FDA-2004-P-0018-0005,FDA-2004-P-0018,Citizen Petition Denial from FDA CFSAN to Environm,,,CFSAN,FDA CFSAN to Environm,Petition,,Denied,Correspondence,False
FDA-2004-P-0294-0023,FDA-2004-P-0294,State of Connecticut,,,,,Other,,,Other Document,True
FDA-2004-P-0003-0002,FDA-2004-P-0003,Letter from FDA CDER to Buc   Beardsley,,,CDER,FDA CDER to Buc   Beardsley,Letter,,,Other Document,False
FDA-2004-P-0088-0003,FDA-2004-P-0088,Letter from FDA CDER to Arent Fox  PLLC,,,CDER,FDA CDER to Arent Fox  PLLC,Letter,,,Correspondence,False
FDA-2004-P-0294-0014,FDA-2004-P-0294,State of Connecticut,,,,,Other,,,Other Document,True
FDA-2004-P-0092-0001,FDA-2004-P-0092,Acknowledgment Letter from FDA DMB to Smart Drug S,,,,FDA DMB to Smart Drug S,Letter,,,Correspondence,False
FDA-2004-P-0338-0001,FDA-2004-P-0338,HFA 305 to Valeant Pharmaceuticals International,,,,Valeant Pharmaceuticals International,Other,,,Other Document,False
FDA-2004-P-0022-0003,FDA-2004-P-0022,Acknowledgment Letter from FDA DMB to Cardinal Hea,,,,FDA DMB to Cardinal Hea,Letter,,,Correspondence,False
FDA-2004-P-0116-0004,FDA-2004-P-0116,HFA 305 to Grateful Doula Services,,,,Grateful Doula Services,Other,,,Other Document,False
FDA-2004-P-0294-0051,FDA-2004-P-0294,FDA Response to Office of the Attorney General Sta,,,,Office of the Attorney General Sta,Final Response,,,Other Document,True
FDA-2004-P-0152-0001,FDA-2004-P-0152,HFA 305 to GlaxoSmith Kline,,,,GlaxoSmith Kline,Other,,,Other Document,False
FDA-2004-P-0147-0003,FDA-2004-P-0147,Acknowledgment Letter from FDA DMB to Edward Odlan,,,,FDA DMB to Edward Odlan,Letter,,,Correspondence,False
FDA-2004-P-0336-0005,FDA-2004-P-0336,HFS 832,,,,,Other,,,Other Document,False
FDA-2004-P-0102-0003,FDA-2004-P-0102,Citizen Petition Approval from FDA CDER to Lachman,,,CDER,FDA CDER to Lachman,Petition,,Approved,Correspondence,False
FDA-2004-P-0363-0001,FDA-2004-P-0363,Acknowledgment Letter from FDA DMB to Methapharm I,,,,FDA DMB to Methapharm I,Letter,,,Correspondence,False
FDA-2004-P-0099-0001,FDA-2004-P-0099,Acknowledgment Letter from FDA DMB to The Weinberg,,,,FDA DMB to The Weinberg,Letter,,,Correspondence,False
