Document ID,Docket ID,Title,Petition Date,Response Date,FDA Center,Petitioner,"Type of Document (Petition, Interim Response, Final Response)",Response Type,Mined_Response_Type,Document_Role,is_scanned
,FDA-2007-P-0013,"Fuerst, Humphrey, Ittleman, PL - Citizen Petition",,,CDRH,"Fuerst, Humphrey, Ittleman, Pl",,Response-unspecified,Response-unspecified,Correspondence,True
,FDA-2007-P-0014,"Fuerst, Humphrey, Ittleman, PL - Interim Response",,,CDRH,"Fuerst, Humphrey, Ittleman, Pl",,Response- Interim,Response- Interim,Initial Petition,False
,FDA-2007-P-0015,"Fuerst, Humphrey, Ittleman, PL - Citizen Petition Withdrawal",,,CDRH,"Fuerst, Humphrey, Ittleman, Pl",,Withdrawal,Withdrawal,Correspondence,True
,FDA-2007-P-0014,"JR Rapoza Associates, Inc. - Citizen Petition",,,CDER,"Jr Rapoza Associates, Inc.",,No response,No response,Other Document,False
,FDA-2007-P-0015,"Lachman Consultant Services, Inc. - Citizen Petition",,,CDER,"Lachman Consultant Services, Inc.",,No response,No response,Initial Petition,False
,FDA-2007-P-0050,Baltimore City Health Department et al - Citizen Petition,,,CDER,Baltimore City Health Department Et Al,,No response,No response,Other Document,False
,FDA-2007-P-0052,"King Pharmaceuticals, Inc - Citizen Petition",,,CBER,"King Pharmaceuticals, Inc",,Denied,Denied,Final FDA Response,False
,FDA-2007-P-0052,"FDA to King Pharmaceuticals, Inc. - Denial",,,CBER,"King Pharmaceuticals, Inc",,Response - Denied,Response - Denied,Other Document,True
,FDA-2007-P-0053,West-Ward Pharmaceutical Corp. - Citizen Petition,,,CDER,West-Ward Pharmaceutical Corp.,,No response,No response,Initial Petition,False
,FDA-2007-P-0053,FDA/DDM to West-Ward Pharmaceutical Corp.,,,CDER,West-Ward Pharmaceutical Corp.,,Withdrawal,Withdrawal,Other Document,False
